CIDADE_INI,CIDADE_FIM,N_AUTOS,EMPRESA,DESCRICAO,CARACTERISTICA
MARTINÓPOLIS,SALTO GRANDE,4656A,EMPRESA DE TRANSPORTES ANDORINHA S/A,PRESIDENTE PRUDENTE - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
MARTINÓPOLIS,SANTO ANDRÉ,4656A,EMPRESA DE TRANSPORTES ANDORINHA S/A,PRESIDENTE PRUDENTE - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
MARTINÓPOLIS,SÃO PAULO,4656A,EMPRESA DE TRANSPORTES ANDORINHA S/A,PRESIDENTE PRUDENTE - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
MARTINÓPOLIS,SERTÃOZINHO,6206A,EXPRESSO ADAMANTINA LTDA,MARILIA - RIBEIRAO PRETO,Rodoviária Convencional
MARTINÓPOLIS,TAQUARITINGA,6206A,EXPRESSO ADAMANTINA LTDA,MARILIA - RIBEIRAO PRETO,Rodoviária Convencional
MARTINÓPOLIS,TUPÃ,6206A,EXPRESSO ADAMANTINA LTDA,MARILIA - RIBEIRAO PRETO,Rodoviária Convencional
MARTINÓPOLIS,TUPÃ,7141A,GUERINO SEISCENTO TRANSPORTES S/A,MARILIA - POMPEIA,Semiurbana
MATÃO,MONTE ALTO,5848A,VIAÇÃO PIRACICABANA S/A,ARARAQUARA - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
MATÃO,MONTE ALTO,5848E,VIAÇÃO PIRACICABANA S/A,MONTE ALTO - SÃO PAULO (T.TIÊTE),Rodoviário Executivo
MATÃO,MONTE AZUL PAULISTA,4246A,VIAÇÃO DANUBIO AZUL LTDA,OLIMPIA - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
MATÃO,MONTE AZUL PAULISTA,4246E,VIAÇÃO DANUBIO AZUL LTDA,OLIMPIA - SÃO PAULO (T.TIÊTE),Rodoviário Executivo
MATÃO,NOVO HORIZONTE,5846A,VIAÇÃO PIRACICABANA S/A,SÃO PAULO (T.TIÊTE) - NOVO HORIZONTE,Rodoviária Convencional
MATÃO,NOVO HORIZONTE,5846E,VIAÇÃO PIRACICABANA S/A,SAO BERNARDO DO CAMPO - NOVO HORIZONTE,Rodoviário Executivo
MATÃO,OLÍMPIA,4246A,VIAÇÃO DANUBIO AZUL LTDA,OLIMPIA - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
MATÃO,OLÍMPIA,4246E,VIAÇÃO DANUBIO AZUL LTDA,OLIMPIA - SÃO PAULO (T.TIÊTE),Rodoviário Executivo
MATÃO,PINDORAMA,5918A,VIAÇÃO PIRACICABANA S/A,ARARAQUARA - SAO JOSE DO RIO PRETO,Rodoviária Convencional
MATÃO,RIBEIRÃO PRETO,7783A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - MATAO,Semiurbana
MATÃO,RIO CLARO,7461A,VIAÇÃO DANUBIO AZUL LTDA,SÃO PAULO (T.TIÊTE) - GUAIRA,Rodoviária Convencional
MATÃO,RIO CLARO,7461E,VIAÇÃO DANUBIO AZUL LTDA,SÃO PAULO (T.TIÊTE) - GUAIRA,Rodoviário Executivo
MATÃO,RIO CLARO,8180A,VIAÇÃO DANUBIO AZUL LTDA,CAMPINAS - BARRETOS,Rodoviária Convencional
MATÃO,RIO CLARO,5846A,VIAÇÃO PIRACICABANA S/A,SÃO PAULO (T.TIÊTE) - NOVO HORIZONTE,Rodoviária Convencional
MATÃO,RIO CLARO,5846E,VIAÇÃO PIRACICABANA S/A,SAO BERNARDO DO CAMPO - NOVO HORIZONTE,Rodoviário Executivo
MATÃO,RIO CLARO,5848A,VIAÇÃO PIRACICABANA S/A,ARARAQUARA - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
MATÃO,RIO CLARO,5848E,VIAÇÃO PIRACICABANA S/A,MONTE ALTO - SÃO PAULO (T.TIÊTE),Rodoviário Executivo
MATÃO,SANTA ADÉLIA,5918A,VIAÇÃO PIRACICABANA S/A,ARARAQUARA - SAO JOSE DO RIO PRETO,Rodoviária Convencional
MATÃO,SANTA ERNESTINA,9707A,VIAÇÃO PARATY LTDA,MATAO - SANTA ERNESTINA,Semiurbana
MATÃO,SANTO ANDRÉ,5846E,VIAÇÃO PIRACICABANA S/A,SAO BERNARDO DO CAMPO - NOVO HORIZONTE,Rodoviário Executivo
MATÃO,SÃO BERNARDO DO CAMPO,5846E,VIAÇÃO PIRACICABANA S/A,SAO BERNARDO DO CAMPO - NOVO HORIZONTE,Rodoviário Executivo
MATÃO,SÃO CAETANO DO SUL,5846E,VIAÇÃO PIRACICABANA S/A,SAO BERNARDO DO CAMPO - NOVO HORIZONTE,Rodoviário Executivo
MATÃO,SÃO CARLOS,4246A,VIAÇÃO DANUBIO AZUL LTDA,OLIMPIA - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
